Lithuanian_ST	lit	lit
Lithuanian_O		
Latvian	lav	lat
SERBOCROATIAN_P		
Serbocroatian		
Slovak		
SLOVAK_P		
Slovenian	xsl	slv
SLOVENIAN_P		
UKRAINIAN_P		
RUSSIAN_P		
Russian	rus	rus
POLISH_P		
Polish	pol	pol
BULGARIAN_P		
Czech_E		
MACEDONIAN_P		
Bulgarian	bul	bul
Czech	ces	cze
CZECH_P		
Lusatian_L	hsb	srb
Lusatian_U	hsb	sou
BYELORUSSIAN_P		
Macedonian	mkd	mcd
Ukrainian	ukr	ukr
Byelorussian	bel	blr
Sardinian_N		
Vlach		
Sardinian_L		
French_Creole_C	hat	hcr
French	fra	fre
French_Creole_D		
Walloon		
Provencal	prv	pro
Spanish	spa	spa
Catalan	cat	ctl
Italian	ita	ita
Sardinian_C	sro	srd
Ladin	lld	ldn
Rumanian_List	ron	rom
Albanian_K		
Portuguese_ST	por	por
Brazilian		
Takitaki		
Swedish_Up		
Swedish_VL		
German_ST	deu	ger
Icelandic_ST	isl	ice
Riksmal		
Swedish_List	swe	swe
Danish	dan	dsh
Faroese	fao	far
Frisian	frs	fri
Flemish	zea	duz
Penn._Dutch		
Dutch_List	nld	dut
Afrikaans	afr	afr
English_ST	eng	eng
Welsh_C		
Welsh_N	cym	wel
Greek_Mod	ell	grk
Greek_ML		
Greek_K		
Greek_MD		
Greek_D		
Irish_A		
Irish_B	gle	iri
Breton_ST	bre	bre
Breton_SE		
Breton_List		
Armenian_Mod	hye	arm
Armenian_List		
ALBANIAN		
Albanian_G	als	alb
Albanian_C		
Albanian_T		
Albanian_Top		
Panjabi_ST	pan	pan
Kashmiri	kas	kas
Lahnda		
Hindi	hin	hin
Bengali	ben	ben
Khaskura		
Nepali_List	nep	nep
Afghan	prs	dri
Waziri	pst	psh
Persian_List	pes	prs
Tadzik	tbc	tak
Baluchi	bgp	blc
Marathi	mar	mhi
Gujarati	guj	guj
Singhalese	sin	snh
Ossetic	oss	oss
Gypsy_Gk	rmy	rlo
Wakhi	wbl	wak
Hittite	hit	xhit
Tocharian_A	xto	xxto
